text,id,relevent_or_not
"514,RT JRNYcrypto THE CRYPTO GIVEAWAY CONTEST IS NOW LIVE 25K IN CRYPTO PRIZES Prizes 10 winners of 1000 of ETH 15 winners",1012,Not_relevant
"2358,frogghie holystreem QuantStratTradR PPathole Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1035,Relevant
"674,Bitcoin Black v Bitcoin Get FREE coins 36 value https t co mNut0IabRp",1036,Not_relevant
"634,jasonkendal5 elonmusk Thanks for your support I have a special gift for you Visit www elon win com remove slashes doge btc eth bitcoin ethereum dogecoin",1041,Not_relevant
"190,RT TonySparkOG Check out my Cryptocurrency guides playlist on YouTube to get some great value for free Guides https t co sArKXBTFlx",1046,Not_relevant
"1691,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",1060,Not_relevant
"960,RT StockBlaster DOGE is terrifying elites Here s a hilarious article written by a Bitcoin loyalist who thinks Dogecoin just migh",1066,Relevant
"1221,Beste miljonair Geef me alsjeblieft BTC Ik ben gehackt Cryptocurrency BTC Bitcoin Bitcoin 1AcnZqfZWPqK8PcpfXxTTPCe4NXMb8x4DT https t co 4UD9srShs7",1071,Not_relevant
"60,HazeCzar Thanks for your support I have a special gift for you Visit www elon win com doge btc eth bitcoin ethereum dogecoin",1074,Not_relevant
"726,RT TommyHustleTZA Everytime I see one of these Bitcoin tweets I feel like I m the evil doctor from Austin Powers lol 100 billion doll",1077,Relevant
"156,RT Davincij15 However if you are not as dumb as a politician or central banker there is a plan B bitcoin",1087,Relevant
"2144,RT latokens LATOKEN giftedhandsGHD Giveaway 4 lucky winners to get 50K GHD each Participant with most invites gets assured 50K GHD",1096,Not_relevant
"2340,alwaysbravve RaoulGMI CaitlinLong Thank you I am eternally grateful now I hope that bitcoin will grow even more and I will become a millionaire",1099,Relevant
"2153,AlexPrezas arlin422 abelcas18 WholeMarsBlog Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",11,Relevant
"2512,RT JRNYcrypto THE CRYPTO GIVEAWAY CONTEST IS NOW LIVE 25K IN CRYPTO PRIZES Prizes 10 winners of 1000 of ETH 15 winners",1101,Not_relevant
"270,RT PeterSchiff fundstrat JoeSquawk From the guy who had a 50 000 price target on Bitcoin for year end 2018 My gold forecast came a",1113,Relevant
"958,rianfelipe05 chamath Now I will wait for the price of bitcoin to rise to 100 000",112,Relevant
"2193,pineapple saucy MikeyPats JessSayin517 TDenges Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1133,Relevant
"2341,RT EdufexOfficial Share your knowledge with learners around the world Increase the size of your class and students through the Edufex pl",1153,Not_relevant
"146,RT FOUR20Finance NEW Airdrop running for FOUR20Finance FIRST 500 people to join https t co 6RAsTHS7sR will receive our new BinanceS",1156,Not_relevant
"860,2 https t co VTdhZ1X0Kt btc bitcoin cryptocurrency jpy",1158,Not_relevant
"2535,AlecVernot kripto dede cz binance Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1164,Relevant
"1743,If you re considering cryptocurrency start with latokens Participate easily in airdrops amp giveaways on LATOKEN to earn free crypto Their app is pretty awesome too Start by participating in the ZIL giveaway https t co DMfdi4ksxM dogecoin LatokenApp Bitcoin",1185,Not_relevant
"24,RT CedYoungelman Sneak preview of The Bitcoin Boomer with Gary Leland Bitcoin is a religion Itunes link https t co OauFf96kHH Spot",1189,Not_relevant
"189,RT RoninMiner I don t dunk on shitcoiners anymore I don t try to pill friends and I don t even argue with naysayers I Hodl answer the",1197,Relevant
"1486,RT Bitcoinmatt BITCOIN GIVEAWAY I m giving away 5000 in BTC to 1 person who 1 Follow Bitcoinmatt 2 Like and Retweet Winner w",1206,Not_relevant
"1482,https t co BC3ccrqTS4",1209,Not_relevant
"2306,RT NitroExOfficial Our first event is Airdrop Up to 50 000 NTX for each participant Let s click now to start winning https t co 0",1210,Not_relevant
"1081,RT latokens LATOKEN zilliqa Giveaway 3 lucky winners to get 750 ZIL each Participant with most referrals gets assured 750 ZIL D",1225,Not_relevant
"256,RT CryptoAmb Bitcoin HODLers are selling should you buy https t co 1TfhiRK96Q",1238,Not_relevant
"1501,No need to spend your own money to trade cryptocurrency Over 10K users won crypto rewards on latokens last week It s the best way to join the financial revolution Start by earning a share of 100K in CLIQ airdrop https t co 240GfzfpF0 Bitcoin ETH Citi AON LATOKEN",124,Not_relevant
"2645,kdrmstn kdramachic Started preaching to friends and family to buy bitcoin when it was at 28k and now it s doubled to in less than 2 months Most of my friends didn t listen Dm Williamssmart to explain Bitcoin better",1255,Relevant
"1172,got ballz to win big register at https t co 9JmjDEsjGO cryptocurrency win lasvegas gambling trx slots bitcoin blackjack free doge btc casino betting dogecoin poker litecoin eth https t co DViu1O0bI1",1261,Not_relevant
"343,How to get a share of 30K worth of FREE Coin for free Join latokens FREE Coin Airdrop complete easy social tasks and earn an assured reward KYC not needed if you ve installed LatokenApp Earn now https t co LBKQJyIcYh cryptocurrency tesla bitcoin LATOKEN",1272,Not_relevant
"1831,RT cameron bitcoin is a force that is all around us It s an energy field that will tie us all together It s the greatest social networ",128,Relevant
"483,HirdeySarthak Sign up and get your 10 new user bonus Chance to win crypto with regular airdrops and events Logged into the world s best crypto exchange https t co JPQC93w0Q1 bitcoin btc airdrop airdrops blockchain crypto cryptocurrency ethereum eth xrp",1288,Not_relevant
"2285,RT ChartsBtc bitcoin cycles aligned at the halvings https t co BKXP5XzDSs",1297,Not_relevant
"2161,I just joined this 25k Crypto giveaway by JRNYcrypto and sparkpointio Get daily entries to increase your chances of winning 25 random winners of 1k each Bitcoin Crypto BTC ETH SRK https t co 5jRTWz0O0t",13,Not_relevant
"2283,RizaldiStar holman Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1302,Relevant
"1534,DogecoinRise FIRST 25 FOLLOWS WILL GET 25 IN FREE DOGECOIN will reach out to the first 25 followers and retweeters as soon as the 25 mark is hit ElonMusk Crypto Bitcoin Dogecoinarmy BitcoinSV robinhood Binance uphold voyager",1305,Not_relevant
"2655,EthanIsHung2 Sign up and get your 10 new user bonus Chance to win crypto with regular airdrops and events Logged into the world s best crypto exchange https t co JPQC93w0Q1 bitcoin btc airdrop airdrops blockchain crypto cryptocurrency ethereum eth xrp",1322,Not_relevant
"1842,RT BTC Archive I hope another 100m people get into Bitcoin before 100 big companies but I don t think the next 100m people will b",1334,Relevant
"79,RT realjunsonchan Nice Great catches today lots of arrests of high level p bears and other corrupt idiots Fitting that John McCafee w",1339,Relevant
"2510,kelvinm20457652 Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1348,Relevant
"2044,RT BTCTN Microstrategy currently commands 0 4336 of the entire 21 million bitcoin supply cap and the firm is nearing the 100k BTC miles",136,Relevant
"1770,RT eBargainsToday Canadian Dollar Forecast Loonie Awaits BoC Guidance on QE Pace The Canadian Dollar could extend its recent stretch of",1364,Not_relevant
"261,RT spinte7 If it s not Bitcoin then it s a shitcoin https t co 6kCS0Bdcu6",137,Relevant
"1997,If you re considering crypto now do check out the latokens app on PlayStore amp AppStore Clean interface and pretty high rated You can also earn free crypto in the ZIL giveaway https t co w4iNMET940 LatokenGiveaway LatokenApp Bitcoin",1376,Not_relevant
"165,Nicolas26389227 jeremyjudkins Elon Musk has been causing a lot of pain to Tesla s investors For how long Elon Musk will continue on inflicting pain to Tesla s investors Elon get rid of Bitcoin today And investors around the world will do the cheer up dance Jerusalem for you and Tesla",1377,Relevant
"2163,How to get a share of 30K worth of FREE Coin for free Join latokens FREE Coin Airdrop complete easy social tasks and earn an assured reward KYC not needed if you ve installed LatokenApp Earn now https t co Xh2iDjke8V cryptocurrency tesla bitcoin LATOKEN",138,
"669,RT latokens LATOKEN zilliqa Giveaway 3 lucky winners to get 750 ZIL each Participant with most referrals gets assured 750 ZIL D",1388,Not_relevant
"17,RT iamZatoshi BITCOIN SV GIVEAWAY 24 Hours 2 People 50 in BSV each Follow me Retweet Like Good Luck Z https",1396,Not_relevant
